Date,Open,High,Low,Close,Volume,Adj Close
2016-05-16,92.389999,94.389999,91.650002,93.879997,61140600,93.879997
2016-05-13,90.00,91.669998,90.00,90.519997,44188200,90.519997
2016-05-12,92.720001,92.779999,89.470001,90.339996,76109800,90.339996
2016-05-11,93.480003,93.57,92.459999,92.510002,28539900,92.510002
2016-05-10,93.330002,93.57,92.110001,93.419998,33592500,93.419998
2016-05-09,93.00,93.769997,92.589996,92.790001,32855300,92.790001
2016-05-06,93.370003,93.449997,91.849998,92.720001,43458200,92.720001
2016-05-05,94.00,94.07,92.68,93.239998,35890500,93.239998
2016-05-04,95.199997,95.900002,93.82,94.190002,41025500,93.620002
2016-05-03,94.199997,95.739998,93.68,95.18,56831300,94.604009
